name;type;months;url;image
Tomate;fruit;"5,6,7,8,9,10";https://fr.wikipedia.org/wiki/Tomate;https://www.fruitsandveggiesmorematters.org/wp-content/uploads/UserFiles/Image/cooking/good/nutrition/fvdb/tomato.jpg
Pomme de terre;vegetable;"1,2,3,4,5,6,7,8,9,10,11,12";https://fr.wikipedia.org/wiki/Pomme_de_terre;https://www.fruitsandveggiesmorematters.org/wp-content/uploads/UserFiles/Image/cooking/good/nutrition/fvdb/potatoe.jpg
Fraise;fruit;"5,6,7,8";https://fr.wikipedia.org/wiki/Fraise;https://www.fruitsandveggiesmorematters.org/wp-content/uploads/UserFiles/Image/cooking/good/nutrition/fvdb/strawberries.jpg
Mâche;vegetable;"1,2,11,12";https://fr.wikipedia.org/wiki/Valerianella_locusta;https://www.fruitsandveggiesmorematters.org/wp-content/uploads/UserFiles/Image/cooking/good/nutrition/fvdb/corn_salad.jpg
